location_id,sku_id,assorted,mrp_minor,selling_price_minor,unit_cogs_minor,unit_variable_cost_minor,on_hand_quantity,safety_buffer
"loc_qm_koramangala","QM-SNK-0025-A","true","4500","4150","2615","415","19","7"
"loc_qm_indiranagar","QM-SNK-0025-A","true","4500","4050","2349","324","29","5"
"loc_qm_bellandur","QM-SNK-0025-B","true","8140","7550","4379","529","46","5"
"loc_qm_indiranagar","QM-SNK-0025-B","true","8240","7500","4350","675","22","5"
"loc_qm_koramangala","QM-SNK-0026-A","true","5100","4700","3079","376","29","8"
"loc_qm_bellandur","QM-SNK-0026-B","true","8240","7500","4913","525","44","8"
"loc_qm_bellandur","QM-SNK-0027-A","true","4700","4350","2741","305","20","7"
"loc_qm_indiranagar","QM-SNK-0027-A","true","5100","4800","2784","384","47","5"
"loc_qm_bellandur","QM-SNK-0027-B","true","8340","7900","4780","553","42","6"
"loc_qm_indiranagar","QM-SNK-0027-B","true","8140","7750","4495","698","40","5"
"loc_qm_koramangala","QM-SNK-0028-A","true","4900","4500","2610","360","49","5"
"loc_qm_indiranagar","QM-SNK-0028-A","true","4700","4250","2465","425","33","5"
"loc_qm_koramangala","QM-SNK-0028-B","true","7740","7350","4814","515","8","8"
"loc_qm_bellandur","QM-SNK-0029-A","true","4900","4650","3046","326","16","8"
"loc_qm_koramangala","QM-SNK-0029-B","false","8340","7900","5372","711","0","9"
"loc_qm_indiranagar","QM-SNK-0029-B","false","8040","7500","4350","675","0","5"
"loc_qm_bellandur","QM-SNK-0030-A","true","5000","4650","2813","326","14","6"
"loc_qm_indiranagar","QM-SNK-0030-A","true","4600","4300","2494","430","5","5"
"loc_qm_bellandur","QM-SNK-0030-B","true","7940","7550","4379","529","36","5"
"loc_qm_indiranagar","QM-SNK-0030-B","true","8340","7900","4582","553","44","5"
"loc_qm_koramangala","QM-BEV-0031-A","true","3600","3300","2162","330","33","8"
"loc_qm_bellandur","QM-BEV-0031-B","true","6320","5900","3865","413","34","8"
"loc_qm_bellandur","QM-BEV-0032-A","true","3500","3350","2111","235","10","7"
"loc_qm_indiranagar","QM-BEV-0032-A","true","3500","3200","1856","320","23","5"
"loc_qm_koramangala","QM-BEV-0032-B","true","6320","6000","3780","420","48","7"
"loc_qm_indiranagar","QM-BEV-0032-B","true","6520","6050","3509","424","16","5"
"loc_qm_bellandur","QM-BEV-0033-A","true","3600","3350","1943","235","8","5"
"loc_qm_indiranagar","QM-BEV-0033-A","true","3800","3550","2059","284","9","5"
"loc_qm_koramangala","QM-BEV-0033-B","true","6220","5900","3865","531","12","8"
"loc_qm_bellandur","QM-BEV-0034-A","true","3700","3350","2194","235","6","8"
"loc_qm_bellandur","QM-BEV-0034-B","true","6620","6150","3875","431","28","7"
"loc_qm_indiranagar","QM-BEV-0034-B","true","6420","5850","3393","410","34","5"
"loc_qm_bellandur","QM-BEV-0035-A","true","3800","3600","2178","252","4","6"
"loc_qm_indiranagar","QM-BEV-0035-A","true","3700","3400","1972","272","27","5"
"loc_qm_koramangala","QM-BEV-0035-B","true","6020","5700","3306","513","32","5"
"loc_qm_indiranagar","QM-BEV-0035-B","true","6020","5600","3248","504","20","5"
"loc_qm_koramangala","QM-BEV-0036-A","true","3800","3500","2293","280","37","8"
"loc_qm_bellandur","QM-BEV-0036-B","true","6120","5800","3799","406","24","8"
"loc_qm_koramangala","QM-BEV-0037-A","true","3700","3400","2312","340","47","9"
"loc_qm_indiranagar","QM-BEV-0037-A","true","3600","3250","1885","260","45","5"
"loc_qm_bellandur","QM-BEV-0037-B","true","6220","5800","3509","406","22","6"
"loc_qm_indiranagar","QM-BEV-0037-B","true","6620","6000","3480","540","38","5"
"loc_qm_bellandur","QM-BEV-0038-A","true","4100","3900","2262","273","44","5"
"loc_qm_indiranagar","QM-BEV-0038-A","true","3900","3600","2088","360","31","5"
"loc_qm_koramangala","QM-BEV-0038-B","true","6420","6100","3996","427","16","8"
"loc_qm_bellandur","QM-BEV-0039-A","true","3500","3250","2129","228","42","8"
"loc_qm_bellandur","QM-BEV-0039-B","true","6420","6100","3843","427","18","7"
"loc_qm_indiranagar","QM-BEV-0039-B","true","6520","6200","3596","558","10","5"
"loc_qm_koramangala","QM-BEV-0040-A","true","4100","3750","2363","300","31","7"
"loc_qm_indiranagar","QM-BEV-0040-A","true","3800","3400","1972","340","49","5"
"loc_qm_bellandur","QM-BEV-0040-B","true","6520","6050","3509","424","16","5"
"loc_qm_indiranagar","QM-BEV-0040-B","true","6120","5550","3219","389","42","5"
"loc_qm_koramangala","QM-BEV-0041-A","true","4000","3700","2424","370","41","8"
"loc_qm_bellandur","QM-BEV-0041-B","true","6620","6000","3930","420","14","8"
"loc_qm_bellandur","QM-BEV-0042-A","true","3800","3550","2237","249","36","7"
"loc_qm_indiranagar","QM-BEV-0042-A","true","3700","3500","2030","350","21","5"
"loc_qm_bellandur","QM-BEV-0042-B","true","6020","5700","3449","399","12","6"
"loc_qm_indiranagar","QM-BEV-0042-B","true","6020","5700","3306","399","14","5"
"loc_qm_koramangala","QM-BEV-0043-A","true","3800","3500","2030","350","15","5"
"loc_qm_indiranagar","QM-BEV-0043-A","true","4000","3600","2088","288","7","5"
"loc_qm_koramangala","QM-BEV-0043-B","true","6620","6300","4127","567","20","8"
"loc_qm_bellandur","QM-BEV-0044-A","false","4000","3800","2489","266","0","8"
"loc_qm_koramangala","QM-BEV-0044-B","true","6520","6200","4216","434","30","9"
"loc_qm_indiranagar","QM-BEV-0044-B","true","6620","6150","3567","431","32","5"
"loc_qm_bellandur","QM-BEV-0045-A","true","4100","3800","2299","266","30","6"
"loc_qm_indiranagar","QM-BEV-0045-A","true","3900","3650","2117","292","25","5"
"loc_qm_bellandur","QM-BEV-0045-B","true","6320","6000","3480","420","6","5"
"loc_qm_indiranagar","QM-BEV-0045-B","true","6220","5900","3422","531","18","5"
"loc_qm_koramangala","QM-BEV-0046-A","true","3500","3200","2096","256","45","8"
"loc_qm_bellandur","QM-BEV-0046-B","true","6420","5950","3897","417","4","8"
"loc_qm_bellandur","QM-BEV-0047-A","true","3600","3400","2142","238","26","7"
"loc_qm_indiranagar","QM-BEV-0047-A","true","3800","3500","2030","280","43","5"
"loc_qm_koramangala","QM-BEV-0047-B","true","6220","5900","3717","531","14","7"
"loc_qm_indiranagar","QM-BEV-0047-B","true","6120","5700","3306","513","36","5"
"loc_qm_bellandur","QM-BEV-0048-A","true","3700","3450","2001","242","24","5"
"loc_qm_indiranagar","QM-BEV-0048-A","true","4100","3850","2233","385","29","5"
"loc_qm_koramangala","QM-BEV-0048-B","true","6120","5800","3799","406","24","8"
"loc_qm_bellandur","QM-BEV-0049-A","true","3800","3450","2260","242","22","8"
"loc_qm_bellandur","QM-BEV-0049-B","true","6020","5600","3528","392","44","7"
"loc_qm_indiranagar","QM-BEV-0049-B","true","6020","5500","3190","495","8","5"
"loc_qm_bellandur","QM-BEV-0050-A","true","3900","3700","2239","259","20","6"
"loc_qm_indiranagar","QM-BEV-0050-A","true","4000","3700","2146","370","47","5"
"loc_qm_koramangala","QM-BEV-0050-B","true","6620","6300","3654","441","44","5"
"loc_qm_indiranagar","QM-BEV-0050-B","true","6320","5900","3422","413","40","5"
"loc_qm_koramangala","QM-BEV-0051-A","true","3700","3400","2227","340","49","8"
"loc_qm_bellandur","QM-BEV-0051-B","true","6220","5900","3865","413","40","8"
"loc_qm_koramangala","QM-BEV-0052-A","true","3600","3300","2244","264","13","9"
"loc_qm_indiranagar","QM-BEV-0052-A","true","3900","3500","2030","350","19","5"
"loc_qm_bellandur","QM-BEV-0052-B","true","6320","5900","3570","413","38","6"
"loc_qm_indiranagar","QM-BEV-0052-B","true","6220","5650","3277","396","12","5"
"loc_qm_bellandur","QM-BEV-0053-A","true","3500","3350","1943","235","14","5"
"loc_qm_indiranagar","QM-BEV-0053-A","true","3500","3200","1856","256","5","5"
"loc_qm_koramangala","QM-BEV-0053-B","true","6320","6000","3930","540","28","8"
"loc_qm_bellandur","QM-BEV-0054-A","true","3600","3350","2194","235","12","8"
"loc_qm_bellandur","QM-BEV-0054-B","true","6520","6200","3906","434","34","7"
"loc_qm_indiranagar","QM-BEV-0054-B","true","6120","5800","3364","406","30","5"
"loc_qm_koramangala","QM-BEV-0055-A","true","4000","3700","2331","370","43","7"
"loc_qm_indiranagar","QM-BEV-0055-A","true","4100","3700","2146","296","23","5"
"loc_qm_bellandur","QM-BEV-0055-B","true","6620","6150","3567","431","32","5"
"loc_qm_indiranagar","QM-BEV-0055-B","true","6420","5850","3393","527","16","5"
"loc_qm_koramangala","QM-BEV-0056-A","true","3900","3600","2358","288","7","8"
"loc_qm_bellandur","QM-BEV-0056-B","true","6020","5500","3603","385","30","8"
"loc_qm_bellandur","QM-BEV-0057-A","true","3900","3650","2300","256","6","7"
"loc_qm_indiranagar","QM-BEV-0057-A","true","4000","3750","2175","300","41","5"
"loc_qm_bellandur","QM-BEV-0057-B","true","6120","5800","3509","406","28","6"
"loc_qm_indiranagar","QM-BEV-0057-B","true","6320","6000","3480","540","34","5"
"loc_qm_koramangala","QM-BEV-0058-A","true","3700","3400","1972","272","27","5"
"loc_qm_indiranagar","QM-BEV-0058-A","true","3600","3250","1885","325","27","5"
"loc_qm_koramangala","QM-BEV-0058-B","false","6520","6200","4061","434","0","8"
"loc_qm_bellandur","QM-BEV-0059-A","true","4100","3900","2555","273","48","8"
"loc_qm_koramangala","QM-BEV-0059-B","true","6420","6100","4148","549","42","9"
"loc_qm_indiranagar","QM-BEV-0059-B","true","6220","5800","3364","522","6","5"
"loc_qm_bellandur","QM-BEV-0060-A","true","3500","3250","1966","228","46","6"
"loc_qm_indiranagar","QM-BEV-0060-A","true","3500","3300","1914","330","45","5"
"loc_qm_bellandur","QM-BEV-0060-B","true","6420","6100","3538","427","22","5"
"loc_qm_indiranagar","QM-BEV-0060-B","true","6520","6200","3596","434","38","5"
"loc_qm_koramangala","QM-FPR-0061-A","true","6100","5650","3701","565","11","3"
"loc_qm_bellandur","QM-FPR-0061-B","true","9960","9550","6255","669","20","3"
"loc_qm_bellandur","QM-FPR-0062-A","true","5700","5450","3434","382","42","3"
"loc_qm_indiranagar","QM-FPR-0062-A","true","6100","5650","3277","565","17","3"
"loc_qm_koramangala","QM-FPR-0062-B","true","9560","9200","5796","644","26","3"
"loc_qm_indiranagar","QM-FPR-0062-B","true","9860","9450","5481","662","10","3"
"loc_qm_bellandur","QM-FPR-0063-A","true","5800","5550","3219","389","40","3"
"loc_qm_indiranagar","QM-FPR-0063-A","true","5700","5400","3132","432","49","3"
"loc_qm_koramangala","QM-FPR-0063-B","true","9460","8900","5830","801","36","3"
"loc_qm_bellandur","QM-FPR-0064-A","true","5900","5650","3701","396","38","3"
"loc_qm_bellandur","QM-FPR-0064-B","true","9560","9200","5796","644","14","3"
"loc_qm_indiranagar","QM-FPR-0064-B","true","9760","9350","5423","655","28","3"
"loc_qm_bellandur","QM-FPR-0065-A","true","6000","5750","3479","403","36","3"
"loc_qm_indiranagar","QM-FPR-0065-A","true","5600","5300","3074","424","21","3"
"loc_qm_koramangala","QM-FPR-0065-B","true","9960","9350","5423","842","10","3"
"loc_qm_indiranagar","QM-FPR-0065-B","true","10060","9450","5481","851","14","3"
"loc_qm_koramangala","QM-FPR-0066-A","true","5600","5300","3472","424","15","3"
"loc_qm_bellandur","QM-FPR-0066-B","true","9760","9350","6124","655","10","3"
"loc_qm_koramangala","QM-FPR-0067-A","true","5500","5100","3468","510","25","3"
"loc_qm_indiranagar","QM-FPR-0067-A","true","5500","5250","3045","420","39","3"
"loc_qm_bellandur","QM-FPR-0067-B","true","9860","9450","5717","662","8","3"
"loc_qm_indiranagar","QM-FPR-0067-B","true","9960","9350","5423","842","32","3"
"loc_qm_bellandur","QM-FPR-0068-A","true","5600","5400","3132","378","30","3"
"loc_qm_indiranagar","QM-FPR-0068-A","true","5800","5400","3132","540","25","3"
"loc_qm_koramangala","QM-FPR-0068-B","true","9660","9250","6059","648","40","3"
"loc_qm_bellandur","QM-FPR-0069-A","true","5700","5450","3570","382","28","3"
"loc_qm_bellandur","QM-FPR-0069-B","true","10060","9650","6080","676","4","3"
"loc_qm_indiranagar","QM-FPR-0069-B","true","9860","9250","5365","833","4","3"
"loc_qm_koramangala","QM-FPR-0070-A","true","5900","5600","3528","448","9","3"
"loc_qm_indiranagar","QM-FPR-0070-A","true","5700","5300","3074","530","43","3"
"loc_qm_bellandur","QM-FPR-0070-B","true","9460","9100","5278","637","48","3"
"loc_qm_indiranagar","QM-FPR-0070-B","true","9460","9100","5278","637","36","3"
"loc_qm_koramangala","QM-FPR-0071-A","true","5800","5400","3537","540","19","3"
"loc_qm_bellandur","QM-FPR-0071-B","true","9560","9200","6026","644","46","3"
"loc_qm_bellandur","QM-FPR-0072-A","true","6000","5750","3623","403","22","3"
"loc_qm_indiranagar","QM-FPR-0072-A","true","5600","5200","3016","520","15","3"
"loc_qm_bellandur","QM-FPR-0072-B","true","9660","9250","5596","648","44","3"
"loc_qm_indiranagar","QM-FPR-0072-B","true","10060","9650","5597","676","8","3"
"loc_qm_koramangala","QM-FPR-0073-A","false","5600","5200","3016","520","0","3"
"loc_qm_indiranagar","QM-FPR-0073-A","false","5900","5600","3248","448","0","3"
"loc_qm_koramangala","QM-FPR-0073-B","true","9860","9250","6059","833","44","3"
"loc_qm_bellandur","QM-FPR-0074-A","true","5500","5300","3472","371","18","3"
"loc_qm_koramangala","QM-FPR-0074-B","false","9760","9350","6358","655","0","3"
"loc_qm_indiranagar","QM-FPR-0074-B","false","9960","9550","5539","669","0","3"
"loc_qm_bellandur","QM-FPR-0075-A","true","5600","5400","3267","378","16","3"
"loc_qm_indiranagar","QM-FPR-0075-A","true","5800","5500","3190","440","19","3"
"loc_qm_bellandur","QM-FPR-0075-B","true","9960","9550","5539","669","38","3"
"loc_qm_indiranagar","QM-FPR-0075-B","true","9560","9000","5220","810","12","3"
"loc_qm_koramangala","QM-FPR-0076-A","true","6000","5700","3734","456","23","3"
"loc_qm_bellandur","QM-FPR-0076-B","true","10060","9650","6321","676","36","3"
"loc_qm_bellandur","QM-FPR-0077-A","true","5800","5550","3497","389","12","3"
"loc_qm_indiranagar","QM-FPR-0077-A","true","5700","5400","3132","432","37","3"
"loc_qm_koramangala","QM-FPR-0077-B","true","9460","8900","5607","801","38","3"
"loc_qm_indiranagar","QM-FPR-0077-B","true","9460","8900","5162","801","30","3"
"loc_qm_bellandur","QM-FPR-0078-A","true","5900","5650","3277","396","10","3"
"loc_qm_indiranagar","QM-FPR-0078-A","true","6000","5600","3248","560","23","3"
"loc_qm_koramangala","QM-FPR-0078-B","true","10060","9650","6321","676","48","3"
"loc_qm_bellandur","QM-FPR-0079-A","true","6000","5750","3766","403","8","3"
"loc_qm_bellandur","QM-FPR-0079-B","true","9660","9250","5828","648","30","3"
"loc_qm_indiranagar","QM-FPR-0079-B","true","10060","9450","5481","851","48","3"
"loc_qm_bellandur","QM-FPR-0080-A","true","6100","5850","3539","410","6","3"
"loc_qm_indiranagar","QM-FPR-0080-A","true","5900","5500","3190","550","41","3"
"loc_qm_koramangala","QM-FPR-0080-B","true","9860","9450","5481","662","22","3"
"loc_qm_indiranagar","QM-FPR-0080-B","true","9660","9250","5365","648","34","3"
"loc_qm_koramangala","QM-FPR-0081-A","true","5500","5100","3341","510","27","3"
"loc_qm_bellandur","QM-FPR-0081-B","true","9860","9450","6190","662","26","3"
"loc_qm_koramangala","QM-FPR-0082-A","true","6100","5800","3944","464","37","3"
"loc_qm_indiranagar","QM-FPR-0082-A","true","5800","5400","3132","540","13","3"
"loc_qm_bellandur","QM-FPR-0082-B","true","9960","9550","5778","669","24","3"
"loc_qm_indiranagar","QM-FPR-0082-B","true","9560","9200","5336","644","6","3"
"loc_qm_bellandur","QM-FPR-0083-A","true","5700","5450","3161","382","46","3"
"loc_qm_indiranagar","QM-FPR-0083-A","true","6100","5800","3364","464","45","3"
"loc_qm_koramangala","QM-FPR-0083-B","true","9560","9000","5895","810","6","3"
"loc_qm_bellandur","QM-FPR-0084-A","true","5800","5550","3635","389","44","3"
"loc_qm_bellandur","QM-FPR-0084-B","true","9460","9100","5733","637","20","3"
"loc_qm_indiranagar","QM-FPR-0084-B","true","9460","9100","5278","637","24","3"
"loc_qm_koramangala","QM-FPR-0085-A","true","5800","5400","3402","540","21","3"
"loc_qm_indiranagar","QM-FPR-0085-A","true","6000","5700","3306","456","17","3"
"loc_qm_bellandur","QM-FPR-0085-B","true","9560","9200","5336","644","18","3"
"loc_qm_indiranagar","QM-FPR-0085-B","true","9760","9150","5307","824","10","3"
"loc_qm_koramangala","QM-FPR-0086-A","true","5700","5400","3537","432","31","3"
"loc_qm_bellandur","QM-FPR-0086-B","true","9660","9250","6059","648","16","3"
"loc_qm_bellandur","QM-FPR-0087-A","true","6100","5850","3686","410","38","3"
"loc_qm_indiranagar","QM-FPR-0087-A","true","5900","5600","3248","448","35","3"
"loc_qm_bellandur","QM-FPR-0087-B","false","9760","9350","5657","655","0","3"
"loc_qm_indiranagar","QM-FPR-0087-B","false","9660","9100","5278","819","0","3"
"loc_qm_koramangala","QM-FPR-0088-A","true","5500","5250","3045","420","5","3"
"loc_qm_indiranagar","QM-FPR-0088-A","true","5500","5100","2958","510","21","3"
"loc_qm_koramangala","QM-FPR-0088-B","true","9760","9350","6124","655","10","3"
"loc_qm_bellandur","QM-FPR-0089-A","true","5600","5400","3537","378","34","3"
"loc_qm_koramangala","QM-FPR-0089-B","true","9660","9100","6188","819","20","3"
"loc_qm_indiranagar","QM-FPR-0089-B","true","9560","9000","5220","810","46","3"
"loc_qm_bellandur","QM-FPR-0090-A","true","5700","5450","3297","382","32","3"
"loc_qm_indiranagar","QM-FPR-0090-A","true","6100","5650","3277","565","39","3"
"loc_qm_bellandur","QM-FPR-0090-B","true","10060","9650","5597","676","8","3"
"loc_qm_indiranagar","QM-FPR-0090-B","true","9860","9450","5481","662","32","3"
"loc_qm_koramangala","QM-MTS-0091-A","true","22400","20850","13657","2085","35","3"
"loc_qm_bellandur","QM-MTS-0091-B","true","37840","36350","23809","2545","6","3"
"loc_qm_bellandur","QM-MTS-0092-A","true","22400","21500","13545","1505","28","3"
"loc_qm_indiranagar","QM-MTS-0092-A","true","22500","20950","12151","2095","11","3"
"loc_qm_koramangala","QM-MTS-0092-B","true","38440","36900","23247","2583","4","3"
"loc_qm_indiranagar","QM-MTS-0092-B","true","38140","36600","21228","2562","4","3"
"loc_qm_bellandur","QM-MTS-0093-A","false","22500","21600","12528","1512","0","3"
"loc_qm_indiranagar","QM-MTS-0093-A","false","22100","21000","12180","1680","0","3"
"loc_qm_koramangala","QM-MTS-0093-B","true","38340","36050","23613","3245","14","3"
"loc_qm_bellandur","QM-MTS-0094-A","true","22600","21700","14214","1519","24","3"
"loc_qm_bellandur","QM-MTS-0094-B","true","38140","36600","23058","2562","46","3"
"loc_qm_indiranagar","QM-MTS-0094-B","true","38040","36500","21170","2555","22","3"
"loc_qm_bellandur","QM-MTS-0095-A","true","22000","21100","12766","1477","22","3"
"loc_qm_indiranagar","QM-MTS-0095-A","true","22000","20900","12122","1672","15","3"
"loc_qm_koramangala","QM-MTS-0095-B","true","38140","35850","20793","3227","34","3"
"loc_qm_indiranagar","QM-MTS-0095-B","true","38340","36050","20909","3245","8","3"
"loc_qm_koramangala","QM-MTS-0096-A","true","22600","21450","14050","1716","39","3"
"loc_qm_bellandur","QM-MTS-0096-B","true","38340","36800","24104","2576","42","3"
"loc_qm_koramangala","QM-MTS-0097-A","true","22500","20950","14246","2095","49","3"
"loc_qm_indiranagar","QM-MTS-0097-A","true","22600","21450","12441","1716","33","3"
"loc_qm_bellandur","QM-MTS-0097-B","true","38440","36900","22325","2583","40","3"
"loc_qm_indiranagar","QM-MTS-0097-B","true","38240","35950","20851","3236","26","3"
"loc_qm_bellandur","QM-MTS-0098-A","true","22300","21400","12412","1498","16","3"
"loc_qm_indiranagar","QM-MTS-0098-A","true","22200","20650","11977","2065","19","3"
"loc_qm_koramangala","QM-MTS-0098-B","true","37840","36350","23809","2545","18","3"
"loc_qm_bellandur","QM-MTS-0099-A","true","22400","21500","14083","1505","14","3"
"loc_qm_bellandur","QM-MTS-0099-B","true","37940","36400","22932","2548","36","3"
"loc_qm_indiranagar","QM-MTS-0099-B","true","38140","35850","20793","3227","44","3"
"loc_qm_koramangala","QM-MTS-0100-A","true","22200","21100","13293","1688","33","3"
"loc_qm_indiranagar","QM-MTS-0100-A","true","22100","20550","11919","2055","37","3"
"loc_qm_bellandur","QM-MTS-0100-B","true","38040","36500","21170","2555","34","3"
"loc_qm_indiranagar","QM-MTS-0100-B","true","38440","36900","21402","2583","30","3"
"loc_qm_koramangala","QM-MTS-0101-A","true","22100","20550","13460","2055","43","3"
"loc_qm_bellandur","QM-MTS-0102-A","true","22300","21400","14017","1498","32","3"
"loc_qm_bellandur","QM-MTS-0103-A","false","22000","21100","13293","1477","0","3"
"loc_qm_indiranagar","QM-MTS-0103-A","false","22000","20450","11861","2045","0","3"
"loc_qm_bellandur","QM-MTS-0104-A","true","22400","21500","13008","1505","30","3"
"loc_qm_indiranagar","QM-MTS-0104-A","true","22500","21600","12528","1512","48","3"
